ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
CT_ALLC_001,Content,Small Allocator,Manages own tree + Med Alloc + BRC + Integrity State,No,3.4,E2,Three-tier allocator confirmed: Small+Medium+Container allocators; managed by CmsAllocatorBase(Win10) / unified CmsAllocator(Win11),"Small Allocator (root #12) uses real LCNs as bootstrap fallback; confirmed in all 39 images | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Behavioral claim 'Manages own tree + Med Alloc + BRC + Integrity State' - the structural pieces are disk-present (3-tier allocator rows, integrity-state table) and E2-symbol-backed, but the 'manages' relationship is not a single b"
CT_ALLC_002,Content,Medium Allocator,Main allocator for trees and file contents,No,3.4,E2 (win10),AllocateLcns function (7511 bytes Win10) handles extent allocation,Medium Allocator (root #1) uses virtual addressing; valid MSB+ pages in all images
CT_ALLC_003,Content,Container Allocator,Allocator for itself and Container Table,No,3.4,E2,CmsContainerRangeMap (26/22 funcs) manages container-level allocation,Container Allocator (root #2) uses VIRTUAL addressing (contradicts Prade claim of real addressing)
CT_ALLC_RA_001,Content,Allocator Table,"Deep allocator row structure: key=[range_start,range_length]. Two value formats: bitmap (24B header + 2048B bitmap; 1=allocated 0=free; free_count=range_len-bits_set; field_22=used_count) and compact (24B; flags=0x2 for fully allocated). Three-tier: Small (real LCN root #12), Medium (virtual root #1), Container (virtual root #2)",No,all,N/A,report_container_and_allocator_tables.md,See report_container_and_allocator_tables.md
CT_BKRC_001,Content,Block Ref Count Table,Inferred support for cloning/dedup; fields unknown,Yes,3.4,E2,CmsBlockRefcount class: 23 funcs (Win10) / 27 funcs (Win11). Used for dedup/clone reference counting,"Block Ref Count Table (root #6, ID 0x05) present in all images; no visible structural difference on dedup-enabled volumes | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): 'Inferred support for cloning/dedup; fields unknown' - the cloning/dedup support is E2-corroborated and the populated-only-on-sharing-volumes behavior is disk-observed (empty on plain v3.4/v3.14). Fields are actually now KNOWN (se"
CT_BKRC_RA_001,Content,Block RefCount Table,"Deep row structure: Key=[StartLCN(u64), BlockCount(u64)]. Value=28B header + BlockCount*u16 refcount array + 4B trailing (2080B for bc=0x400). Header: StartLCN(redundant), BlockCount(redundant), ModificationStamp(u64), TotalRefCount(u32). Array entry bitfield: RefCount(13:0), Flag14(14), Shared(15). TotalRefCount=sum(entry&0x3FFF). Dedup flags 0x8000/0x4000 on dedup volumes. Table exists from v3.4 (empty) but populated only on v3.14+. 1305 rows across 83 images; 1302/1302 sum verification matches",No,3.14,N/A,ra_step4_24_block_refcount_table_report.md,See ra_step4_24_block_refcount_table_report.md
CT_BKRC_RA_002,Content,Block RefCount,"BRC key = start_lcn(u64) + block_count(u64 always 0x400). Value = 1024 per-cluster u16: bit 15=shared/dedup-managed, bit 14=dedup metadata flag, bits 13:0=reference count (0-505 observed). Value header at +0x18 = TotalRefCount (u32) == Sum(array entry & 0x3FFF), upper 16 bits always 0 (230/230 rows, master B.6).",Partial,3.14,E2+RD,BRC table accessed via root #6; key/value structure confirmed in decompilation,"CORRECTED 2026-06-19 (master B.6): +0x18 = TotalRefCount = Sum(entry&0x3FFF), re-confirmed 230/230 rows 2026-06-17. The earlier 'compound field / 67/97 violations / not simple total' reading was a 2026-06-16 citation error, retracted. | 97 BRC rows on win11refs8gdedup.raw; 99328 tracked clusters; val+0x18 has 67/97 violations as simple sum"
CT_CNTX_001,Content,Container Index Table,Named but no field layout provided,Yes,3.4,N/A,,"Container Index Table (root #10, ID 0x0E) exists with valid MSB+ pages in all images"
CT_COMP_RA_001,Content,Compression,Compression configuration NOT visible via fsutil or raw metadata structures — only refsutil compression /q,No,3.14,N/A,Empirical observation; not yet verified in driver code,No fsutil fsinfo or metadata field exposes compression status. Must use refsutil compression /q
CT_COMP_RA_002,Content,Compression,"Compression requires dedup engine + background job; refsutil compression /c only sets parameters, does not compress existing data",No,3.14,N/A,Empirical observation; not yet verified in driver code,Confirmed during compression image creation: /c sets params but actual compression happens via dedup engine
CT_CTBL_001,Content,Container Table,Key: container identifier,No,3.4,N/A,"Raw disk analysis: 16-byte key [u64 container_id, u64 0x100000000] confirmed on all 39 images",Container ID is the key in B+-tree; sequential from 0 to container_count-1
CT_CTBL_005,Content,Container Table,0x20-0x28: free clusters in container (Prade),Yes,3.4,N/A,Raw disk analysis: free cluster count at offset 0x20 confirmed (values correlate with usage),"Row field interpretation not yet implemented in detail | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NOT_TESTED): Prade '0x20-0x28 free clusters' - the OFFSET holds a value consistent with a free-cluster count (<=CPC, varies with usage) but the SEMANTIC 'free clusters' is not E2-confirmed (no driver symbol tied). Note structure_reference dist"
CT_CTBL_006,Content,Container Table,"0x90-0x98: physical start LCN (4K clusters, Prade)",Yes,3.4,N/A,Raw disk analysis: CONFIRMED for 160-byte rows only; for 224-byte rows (SHA256/64K) phys_start is at 0xD0. Universal: value[len-16:len-8] (CT_CTBL_RA_001),NORMALIZED 2026-06-19 (was INVALIDATED): Position-independent: phys_start at row[-16] (last 16 bytes). For 160-byte rows: offset 0x90 is correct; fails on 224-byte rows. Universal formula: row[len(row)-16]. Works for 160-byte (0x90) and 224-byte (0xD0). Merged from CT_CTBL_RA_002
CT_CTBL_008,Content,Container Table,"0x98-0xA0: number of clusters (4K, Prade)",Yes,3.4,N/A,Raw disk analysis: CPC is at universal offset 0x18 (not 0x98); value[len-8:len-4] contains a CPC copy. Prade's 0x98 is the trailing copy in 160-byte rows,"DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NOT_TESTED): Prade '0x98-0xA0 number of clusters (4K)'. On disk, 0x98 (for 160B rows) holds the CPC trailing copy (=16384), which IS the number of clusters per container. So Prade's offset+semantic are essentially correct: 0x98=cluster count(="
